keyword_id,canonical_keyword,variations,cell,segment,factor,occupation_group,best_stage,national_zero_months,regional_final_tier,active_v25,recommended_action
FP480,สมัครงาน พนักงานโรงงาน,งาน พนักงานโรงงาน | สมัครงานพนักงานโรงงาน,FP,Formal,Pull,Formal job-entry,national_pass,4,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP481,งาน พนักงานโรงงาน,สมัครงาน พนักงานโรงงาน | หางาน พนักงานโรงงาน,FP,Formal,Pull,Formal job-entry,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP482,หางาน พนักงานร้านอาหาร,งาน พนักงานร้านอาหาร | หางานพนักงานร้านอาหาร,FP,Formal,Pull,Formal job-entry,WEAK,48,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP483,สมัครงาน พนักงานร้านอาหาร,งาน พนักงานร้านอาหาร | สมัครงานพนักงานร้านอาหาร,FP,Formal,Pull,Formal job-entry,WEAK,30,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP484,งาน พนักงานร้านอาหาร,สมัครงาน พนักงานร้านอาหาร | หางาน พนักงานร้านอาหาร,FP,Formal,Pull,Formal job-entry,national_pass,1,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP485,งาน พนักงานเสิร์ฟ,สมัครงาน พนักงานเสิร์ฟ | หางาน พนักงานเสิร์ฟ,FP,Formal,Pull,Formal job-entry,national_pass,12,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP486,หางาน บาริสต้า,งาน บาริสต้า | หางานบาริสต้า,FP,Formal,Pull,Formal job-entry,national_pass,8,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP487,สมัครงาน บาริสต้า,งาน บาริสต้า | สมัครงานบาริสต้า,FP,Formal,Pull,Formal job-entry,national_pass,9,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP488,งาน บาริสต้า,สมัครงาน บาริสต้า | หางาน บาริสต้า,FP,Formal,Pull,Formal job-entry,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP489,หางาน พนักงานร้านกาแฟ,งาน พนักงานร้านกาแฟ | หางานพนักงานร้านกาแฟ,FP,Formal,Pull,Formal job-entry,WEAK,58,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP490,สมัครงาน พนักงานร้านกาแฟ,งาน พนักงานร้านกาแฟ | สมัครงานพนักงานร้านกาแฟ,FP,Formal,Pull,Formal job-entry,WEAK,40,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP491,งาน พนักงานร้านกาแฟ,สมัครงาน พนักงานร้านกาแฟ | หางาน พนักงานร้านกาแฟ,FP,Formal,Pull,Formal job-entry,WEAK,24,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP492,หางาน พนักงานคาเฟ่,งาน พนักงานคาเฟ่ | หางานพนักงานคาเฟ่,FP,Formal,Pull,Formal job-entry,WEAK,62,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP493,สมัครงาน พนักงานคาเฟ่,งาน พนักงานคาเฟ่ | สมัครงานพนักงานคาเฟ่,FP,Formal,Pull,Formal job-entry,WEAK,56,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP494,งาน พนักงานคาเฟ่,สมัครงาน พนักงานคาเฟ่ | หางาน พนักงานคาเฟ่,FP,Formal,Pull,Formal job-entry,WEAK,47,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP495,หางาน พนักงานโรงแรม,งาน พนักงานโรงแรม | หางานพนักงานโรงแรม,FP,Formal,Pull,Formal job-entry,WEAK,24,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP496,สมัครงาน พนักงานโรงแรม,งาน พนักงานโรงแรม | สมัครงานพนักงานโรงแรม,FP,Formal,Pull,Formal job-entry,national_pass,3,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP497,งาน พนักงานโรงแรม,สมัครงาน พนักงานโรงแรม | หางาน พนักงานโรงแรม,FP,Formal,Pull,Formal job-entry,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP498,หางาน แม่บ้านโรงแรม,งาน แม่บ้านโรงแรม | หางานแม่บ้านโรงแรม,FP,Formal,Pull,Formal job-entry,national_pass,11,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP499,สมัครงาน แม่บ้านโรงแรม,งาน แม่บ้านโรงแรม | สมัครงานแม่บ้านโรงแรม,FP,Formal,Pull,Formal job-entry,WEAK,20,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP500,งาน แม่บ้านโรงแรม,สมัครงาน แม่บ้านโรงแรม | หางาน แม่บ้านโรงแรม,FP,Formal,Pull,Formal job-entry,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP501,งาน พนักงานทำความสะอาด,สมัครงาน พนักงานทำความสะอาด | หางาน พนักงานทำความสะอาด,FP,Formal,Pull,Formal job-entry,WEAK,25,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP502,หางาน พนักงานขับรถ,งาน พนักงานขับรถ | หางานพนักงานขับรถ,FP,Formal,Pull,Formal job-entry,national_pass,2,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP503,สมัครงาน พนักงานขับรถ,งาน พนักงานขับรถ | สมัครงานพนักงานขับรถ,FP,Formal,Pull,Formal job-entry,national_pass,1,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP504,งาน พนักงานขับรถ,สมัครงาน พนักงานขับรถ | หางาน พนักงานขับรถ,FP,Formal,Pull,Formal job-entry,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP505,หางาน พนักงานส่งของ,งาน พนักงานส่งของ | หางานพนักงานส่งของ,FP,Formal,Pull,Formal job-entry,WEAK,19,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP506,สมัครงาน พนักงานส่งของ,งาน พนักงานส่งของ | สมัครงานพนักงานส่งของ,FP,Formal,Pull,Formal job-entry,WEAK,17,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP507,งาน พนักงานส่งของ,สมัครงาน พนักงานส่งของ | หางาน พนักงานส่งของ,FP,Formal,Pull,Formal job-entry,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP508,งาน ธุรการ,สมัครงาน ธุรการ | หางาน ธุรการ,FP,Formal,Pull,Formal job-entry,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP509,งาน คีย์ข้อมูล,สมัครงาน คีย์ข้อมูล | หางาน คีย์ข้อมูล,FP,Formal,Pull,Formal job-entry,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP510,งาน บัญชี,สมัครงาน บัญชี | หางาน บัญชี,FP,Formal,Pull,Formal job-entry,active_v25,0,,Y,ใช้ได้แล้วใน Interactive v25
FP511,งาน การเงิน,สมัครงาน การเงิน | หางาน การเงิน,FP,Formal,Pull,Formal job-entry,active_v25,0,,Y,ใช้ได้แล้วใน Interactive v25
FP512,งาน จัดซื้อ,สมัครงาน จัดซื้อ | หางาน จัดซื้อ,FP,Formal,Pull,Formal job-entry,active_v25,0,,Y,ใช้ได้แล้วใน Interactive v25
FP513,งาน พนักงานติดตั้งสินค้า,งาน พนักงานติดตั้งสินค้า รายได้ | งาน พนักงานติดตั้งสินค้า ใกล้ฉัน,FP,Formal,Pull,Formal service operations,WEAK,63,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP514,หางาน เจ้าหน้าที่รับออเดอร์,หางาน เจ้าหน้าที่รับออเดอร์ รายได้ | หางาน เจ้าหน้าที่รับออเดอร์ ใกล้ฉัน,FP,Formal,Pull,Formal sales support,NO_DATA,,,N,เคยลอง National แล้ว NO_DATA
FP515,สมัครงาน เจ้าหน้าที่รับออเดอร์,สมัครงาน เจ้าหน้าที่รับออเดอร์ รายได้ | สมัครงาน เจ้าหน้าที่รับออเดอร์ ใกล้ฉัน,FP,Formal,Pull,Formal sales support,NO_DATA,,,N,เคยลอง National แล้ว NO_DATA
FP516,หางาน สต๊อกสินค้า,งาน สต๊อกสินค้า | หางานสต๊อกสินค้า,FP,Formal,Pull,Formal job-entry,NO_DATA,,,N,เคยลอง National แล้ว NO_DATA
FP517,สมัครงาน สต๊อกสินค้า,งาน สต๊อกสินค้า | สมัครงานสต๊อกสินค้า,FP,Formal,Pull,Formal job-entry,WEAK,62,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP518,งาน สต๊อกสินค้า,สมัครงาน สต๊อกสินค้า | หางาน สต๊อกสินค้า,FP,Formal,Pull,Formal job-entry,national_pass,15,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP519,หางาน โลจิสติกส์,งาน โลจิสติกส์ | หางานโลจิสติกส์,FP,Formal,Pull,Formal job-entry,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP520,สมัครงาน โลจิสติกส์,งาน โลจิสติกส์ | สมัครงานโลจิสติกส์,FP,Formal,Pull,Formal job-entry,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP521,งาน โลจิสติกส์,สมัครงาน โลจิสติกส์ | หางาน โลจิสติกส์,FP,Formal,Pull,Formal job-entry,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP522,หางาน โฟล์คลิฟท์,งาน โฟล์คลิฟท์ | หางานโฟล์คลิฟท์,FP,Formal,Pull,Formal job-entry,national_pass,8,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP523,สมัครงาน โฟล์คลิฟท์,งาน โฟล์คลิฟท์ | สมัครงานโฟล์คลิฟท์,FP,Formal,Pull,Formal job-entry,WEAK,28,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP524,งาน โฟล์คลิฟท์,สมัครงาน โฟล์คลิฟท์ | หางาน โฟล์คลิฟท์,FP,Formal,Pull,Formal job-entry,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP525,งาน ช่างซ่อมบำรุง,สมัครงาน ช่างซ่อมบำรุง | หางาน ช่างซ่อมบำรุง,FP,Formal,Pull,Formal job-entry,national_pass,1,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP526,หางาน ช่างไฟฟ้า,งาน ช่างไฟฟ้า | หางานช่างไฟฟ้า,FP,Formal,Pull,Formal job-entry,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP527,สมัครงาน ช่างไฟฟ้า,งาน ช่างไฟฟ้า | สมัครงานช่างไฟฟ้า,FP,Formal,Pull,Formal job-entry,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP528,งาน ช่างไฟฟ้า,สมัครงาน ช่างไฟฟ้า | หางาน ช่างไฟฟ้า,FP,Formal,Pull,Formal job-entry,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP529,งาน ช่างแอร์,สมัครงาน ช่างแอร์ | หางาน ช่างแอร์,FP,Formal,Pull,Formal job-entry,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP530,งาน ช่างยนต์,สมัครงาน ช่างยนต์ | หางาน ช่างยนต์,FP,Formal,Pull,Formal job-entry,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP531,งาน ช่างเชื่อม,สมัครงาน ช่างเชื่อม | หางาน ช่างเชื่อม,FP,Formal,Pull,Formal job-entry,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP532,หางาน ช่างกล,งาน ช่างกล | หางานช่างกล,FP,Formal,Pull,Formal job-entry,WEAK,51,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP533,สมัครงาน ช่างกล,งาน ช่างกล | สมัครงานช่างกล,FP,Formal,Pull,Formal job-entry,WEAK,52,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP534,งาน ช่างกล,สมัครงาน ช่างกล | หางาน ช่างกล,FP,Formal,Pull,Formal job-entry,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP535,หางาน ช่างก่อสร้าง,งาน ช่างก่อสร้าง | หางานช่างก่อสร้าง,FP,Formal,Pull,Formal job-entry,WEAK,55,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP536,สมัครงาน ช่างก่อสร้าง,งาน ช่างก่อสร้าง | สมัครงานช่างก่อสร้าง,FP,Formal,Pull,Formal job-entry,WEAK,57,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP537,งาน ช่างก่อสร้าง,สมัครงาน ช่างก่อสร้าง | หางาน ช่างก่อสร้าง,FP,Formal,Pull,Formal job-entry,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP538,หางาน ช่างประปา,งาน ช่างประปา | หางานช่างประปา,FP,Formal,Pull,Formal job-entry,NO_DATA,,,N,เคยลอง National แล้ว NO_DATA
FP539,สมัครงาน ช่างประปา,งาน ช่างประปา | สมัครงานช่างประปา,FP,Formal,Pull,Formal job-entry,WEAK,63,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP540,งาน ช่างประปา,สมัครงาน ช่างประปา | หางาน ช่างประปา,FP,Formal,Pull,Formal job-entry,national_pass,9,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP541,หางาน ช่างทาสี,งาน ช่างทาสี | หางานช่างทาสี,FP,Formal,Pull,Formal job-entry,WEAK,63,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP542,สมัครงาน ช่างทาสี,งาน ช่างทาสี | สมัครงานช่างทาสี,FP,Formal,Pull,Formal job-entry,NO_DATA,,,N,เคยลอง National แล้ว NO_DATA
FP543,งาน ช่างทาสี,สมัครงาน ช่างทาสี | หางาน ช่างทาสี,FP,Formal,Pull,Formal job-entry,WEAK,43,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP544,หางาน QC,งาน QC | หางานQC,FP,Formal,Pull,Formal job-entry,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP545,สมัครงาน QC,งาน QC | สมัครงานQC,FP,Formal,Pull,Formal job-entry,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP546,งาน QC,สมัครงาน QC | หางาน QC,FP,Formal,Pull,Formal job-entry,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP547,หางาน QA,งาน QA | หางานQA,FP,Formal,Pull,Formal job-entry,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP548,สมัครงาน QA,งาน QA | สมัครงานQA,FP,Formal,Pull,Formal job-entry,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP549,งาน QA,สมัครงาน QA | หางาน QA,FP,Formal,Pull,Formal job-entry,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP550,หางาน เจ้าหน้าที่ความปลอดภัย,งาน เจ้าหน้าที่ความปลอดภัย | หางานเจ้าหน้าที่ความปลอดภัย,FP,Formal,Pull,Formal job-entry,WEAK,62,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP551,สมัครงาน เจ้าหน้าที่ความปลอดภัย,งาน เจ้าหน้าที่ความปลอดภัย | สมัครงานเจ้าหน้าที่ความปลอดภัย,FP,Formal,Pull,Formal job-entry,WEAK,53,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP552,งาน เจ้าหน้าที่ความปลอดภัย,สมัครงาน เจ้าหน้าที่ความปลอดภัย | หางาน เจ้าหน้าที่ความปลอดภัย,FP,Formal,Pull,Formal job-entry,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP553,หางาน จป วิชาชีพ,งาน จป วิชาชีพ | หางานจป วิชาชีพ,FP,Formal,Pull,Formal job-entry,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP554,สมัครงาน จป วิชาชีพ,งาน จป วิชาชีพ | สมัครงานจป วิชาชีพ,FP,Formal,Pull,Formal job-entry,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP555,งาน จป วิชาชีพ,สมัครงาน จป วิชาชีพ | หางาน จป วิชาชีพ,FP,Formal,Pull,Formal job-entry,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP556,งาน Call Center,สมัครงาน Call Center | หางาน Call Center,FP,Formal,Pull,Formal job-entry,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP557,หางาน บริการลูกค้า,งาน บริการลูกค้า | หางานบริการลูกค้า,FP,Formal,Pull,Formal job-entry,WEAK,40,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP558,สมัครงาน บริการลูกค้า,งาน บริการลูกค้า | สมัครงานบริการลูกค้า,FP,Formal,Pull,Formal job-entry,national_pass,10,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP559,งาน บริการลูกค้า,สมัครงาน บริการลูกค้า | หางาน บริการลูกค้า,FP,Formal,Pull,Formal job-entry,NO_DATA,,,N,เคยลอง National แล้ว NO_DATA
FP560,งาน แอดมิน,สมัครงาน แอดมิน | หางาน แอดมิน,FP,Formal,Pull,Formal job-entry,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP561,หางาน พนักงานไลฟ์สด,งาน พนักงานไลฟ์สด | หางานพนักงานไลฟ์สด,FP,Formal,Pull,Formal job-entry,NO_DATA,,,N,เคยลอง National แล้ว NO_DATA
FP562,สมัครงาน พนักงานไลฟ์สด,งาน พนักงานไลฟ์สด | สมัครงานพนักงานไลฟ์สด,FP,Formal,Pull,Formal job-entry,NO_DATA,,,N,เคยลอง National แล้ว NO_DATA
FP563,งาน พนักงานไลฟ์สด,สมัครงาน พนักงานไลฟ์สด | หางาน พนักงานไลฟ์สด,FP,Formal,Pull,Formal job-entry,WEAK,63,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP564,หางาน Digital Marketing,งาน Digital Marketing | หางานDigital Marketing,FP,Formal,Pull,Formal job-entry,WEAK,44,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP565,สมัครงาน Digital Marketing,งาน Digital Marketing | สมัครงานDigital Marketing,FP,Formal,Pull,Formal job-entry,WEAK,22,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP566,งาน Digital Marketing,สมัครงาน Digital Marketing | หางาน Digital Marketing,FP,Formal,Pull,Formal job-entry,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP567,หางาน กราฟิกดีไซน์,งาน กราฟิกดีไซน์ | หางานกราฟิกดีไซน์,FP,Formal,Pull,Formal job-entry,WEAK,62,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP568,สมัครงาน กราฟิกดีไซน์,งาน กราฟิกดีไซน์ | สมัครงานกราฟิกดีไซน์,FP,Formal,Pull,Formal job-entry,WEAK,60,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP569,งาน กราฟิกดีไซน์,สมัครงาน กราฟิกดีไซน์ | หางาน กราฟิกดีไซน์,FP,Formal,Pull,Formal job-entry,national_pass,6,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP570,หางาน ช่างภาพ,งาน ช่างภาพ | หางานช่างภาพ,FP,Formal,Pull,Formal job-entry,national_pass,7,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP571,สมัครงาน ช่างภาพ,งาน ช่างภาพ | สมัครงานช่างภาพ,FP,Formal,Pull,Formal job-entry,national_pass,10,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP572,งาน ช่างภาพ,สมัครงาน ช่างภาพ | หางาน ช่างภาพ,FP,Formal,Pull,Formal job-entry,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP573,หางาน ตัดต่อวิดีโอ,งาน ตัดต่อวิดีโอ | หางานตัดต่อวิดีโอ,FP,Formal,Pull,Formal job-entry,WEAK,63,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP574,สมัครงาน ตัดต่อวิดีโอ,งาน ตัดต่อวิดีโอ | สมัครงานตัดต่อวิดีโอ,FP,Formal,Pull,Formal job-entry,NO_DATA,,,N,เคยลอง National แล้ว NO_DATA
FP575,งาน ตัดต่อวิดีโอ,สมัครงาน ตัดต่อวิดีโอ | หางาน ตัดต่อวิดีโอ,FP,Formal,Pull,Formal job-entry,national_pass,2,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP576,หางาน Content Creator,งาน Content Creator | หางานContent Creator,FP,Formal,Pull,Formal job-entry,WEAK,43,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP577,สมัครงาน Content Creator,งาน Content Creator | สมัครงานContent Creator,FP,Formal,Pull,Formal job-entry,WEAK,20,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP578,งาน Content Creator,สมัครงาน Content Creator | หางาน Content Creator,FP,Formal,Pull,Formal job-entry,national_pass,6,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP579,หางาน พนักงานขายออนไลน์,งาน พนักงานขายออนไลน์ | หางานพนักงานขายออนไลน์,FP,Formal,Pull,Formal job-entry,WEAK,63,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP580,สมัครงาน พนักงานขายออนไลน์,งาน พนักงานขายออนไลน์ | สมัครงานพนักงานขายออนไลน์,FP,Formal,Pull,Formal job-entry,WEAK,63,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP581,งาน พนักงานขายออนไลน์,สมัครงาน พนักงานขายออนไลน์ | หางาน พนักงานขายออนไลน์,FP,Formal,Pull,Formal job-entry,WEAK,48,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP582,หางาน พนักงานขับรถ 6 ล้อ,งาน พนักงานขับรถ 6 ล้อ | หางานพนักงานขับรถ 6 ล้อ,FP,Formal,Pull,Formal job-entry,WEAK,62,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP583,สมัครงาน พนักงานขับรถ 6 ล้อ,งาน พนักงานขับรถ 6 ล้อ | สมัครงานพนักงานขับรถ 6 ล้อ,FP,Formal,Pull,Formal job-entry,NO_DATA,,,N,เคยลอง National แล้ว NO_DATA
FP584,งาน พนักงานขับรถ 6 ล้อ,สมัครงาน พนักงานขับรถ 6 ล้อ | หางาน พนักงานขับรถ 6 ล้อ,FP,Formal,Pull,Formal job-entry,NO_DATA,,,N,เคยลอง National แล้ว NO_DATA
FP585,หางาน ขับรถโฟล์คลิฟท์,งาน ขับรถโฟล์คลิฟท์ | หางานขับรถโฟล์คลิฟท์,FP,Formal,Pull,Formal job-entry,WEAK,28,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP586,สมัครงาน ขับรถโฟล์คลิฟท์,งาน ขับรถโฟล์คลิฟท์ | สมัครงานขับรถโฟล์คลิฟท์,FP,Formal,Pull,Formal job-entry,WEAK,57,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP587,งาน ขับรถโฟล์คลิฟท์,สมัครงาน ขับรถโฟล์คลิฟท์ | หางาน ขับรถโฟล์คลิฟท์,FP,Formal,Pull,Formal job-entry,national_pass,16,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP588,หางาน พนักงานขนส่ง,งาน พนักงานขนส่ง | หางานพนักงานขนส่ง,FP,Formal,Pull,Formal job-entry,WEAK,62,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP589,สมัครงาน พนักงานขนส่ง,งาน พนักงานขนส่ง | สมัครงานพนักงานขนส่ง,FP,Formal,Pull,Formal job-entry,WEAK,47,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP590,งาน พนักงานขนส่ง,สมัครงาน พนักงานขนส่ง | หางาน พนักงานขนส่ง,FP,Formal,Pull,Formal job-entry,national_pass,5,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP591,งาน เจ้าหน้าที่รับออเดอร์,งาน เจ้าหน้าที่รับออเดอร์ รายได้ | งาน เจ้าหน้าที่รับออเดอร์ ใกล้ฉัน,FP,Formal,Pull,Formal sales support,NO_DATA,,,N,เคยลอง National แล้ว NO_DATA
FP592,หางาน ผู้ช่วยเภสัช,งาน ผู้ช่วยเภสัช | หางานผู้ช่วยเภสัช,FP,Formal,Pull,Formal job-entry,WEAK,58,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP593,สมัครงาน ผู้ช่วยเภสัช,งาน ผู้ช่วยเภสัช | สมัครงานผู้ช่วยเภสัช,FP,Formal,Pull,Formal job-entry,WEAK,52,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP594,งาน ผู้ช่วยเภสัช,สมัครงาน ผู้ช่วยเภสัช | หางาน ผู้ช่วยเภสัช,FP,Formal,Pull,Formal job-entry,WEAK,28,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP595,หางาน เวรเปล,งาน เวรเปล | หางานเวรเปล,FP,Formal,Pull,Formal job-entry,WEAK,62,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP596,สมัครงาน เวรเปล,งาน เวรเปล | สมัครงานเวรเปล,FP,Formal,Pull,Formal job-entry,WEAK,62,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP597,งาน เวรเปล,สมัครงาน เวรเปล | หางาน เวรเปล,FP,Formal,Pull,Formal job-entry,WEAK,58,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP598,หางาน พนักงานดูแลสต๊อก,หางาน พนักงานดูแลสต๊อก รายได้ | หางาน พนักงานดูแลสต๊อก ใกล้ฉัน,FP,Formal,Pull,Formal inventory operations,NO_DATA,,,N,เคยลอง National แล้ว NO_DATA
FP599,สมัครงาน พนักงานดูแลสต๊อก,สมัครงาน พนักงานดูแลสต๊อก รายได้ | สมัครงาน พนักงานดูแลสต๊อก ใกล้ฉัน,FP,Formal,Pull,Formal inventory operations,NO_DATA,,,N,เคยลอง National แล้ว NO_DATA
